"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 07:53:06 GMT 2023","Thu Mar 16 07:53:08 GMT 2023","2244","","Search element","","","","addComputertrue",""
"failed","Thu Mar 16 07:52:29 GMT 2023","Thu Mar 16 07:52:38 GMT 2023","8545","","My First Test","","","","Register",""
"passed","Thu Mar 16 07:53:02 GMT 2023","Thu Mar 16 07:53:06 GMT 2023","4053","","Search element","","","","search_add",""
"passed","Thu Mar 16 07:52:59 GMT 2023","Thu Mar 16 07:53:02 GMT 2023","2869","","Search element","","","","Doing search",""
"passed","Thu Mar 16 07:52:38 GMT 2023","Thu Mar 16 07:52:40 GMT 2023","2026","","My First Test","","","","Login",""
"passed","Thu Mar 16 07:52:50 GMT 2023","Thu Mar 16 07:52:52 GMT 2023","1993","","Login or Logout","","","","User logout",""
"passed","Thu Mar 16 07:53:18 GMT 2023","Thu Mar 16 07:53:25 GMT 2023","7521","","My First Test","","","","Add to cart",""
"passed","Thu Mar 16 07:52:48 GMT 2023","Thu Mar 16 07:52:50 GMT 2023","2428","","Login or Logout","","","","User login",""
"failed","Thu Mar 16 07:53:33 GMT 2023","Thu Mar 16 07:53:41 GMT 2023","7668","","My User Registration","","","","User Register",""
