"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 16:27:17 GMT 2023","Thu Mar 16 16:27:20 GMT 2023","2387","","Search element","","","","Recherche",""
"passed","Thu Mar 16 16:26:21 GMT 2023","Thu Mar 16 16:26:24 GMT 2023","2248","","My First Test","","","","Login",""
"passed","Thu Mar 16 16:27:41 GMT 2023","Thu Mar 16 16:27:45 GMT 2023","4493","","My User Registration","","","","User Register",""
"failed","Thu Mar 16 16:26:37 GMT 2023","Thu Mar 16 16:26:43 GMT 2023","5801","","Login or Logout","","","","User logout",""
"passed","Thu Mar 16 16:27:06 GMT 2023","Thu Mar 16 16:27:11 GMT 2023","4356","","template spec","","","","passes",""
"passed","Thu Mar 16 16:25:52 GMT 2023","Thu Mar 16 16:25:57 GMT 2023","5514","","Ajout panier","","","","passes",""
"failed","Thu Mar 16 16:26:31 GMT 2023","Thu Mar 16 16:26:37 GMT 2023","6231","","Login or Logout","","","","User login",""
"broken","Thu Mar 16 18:12:08 GMT 2023","Thu Mar 16 18:12:08 GMT 2023","0","","cypress/e2e/vide_panier.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/vide_panier.cy.js",""
"failed","Thu Mar 16 16:26:13 GMT 2023","Thu Mar 16 16:26:21 GMT 2023","7935","","My First Test","","","","Register",""
"failed","Thu Mar 16 16:27:29 GMT 2023","Thu Mar 16 16:27:34 GMT 2023","5446","","My First Test","","","","Add to cart",""
