"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 07:54:18 GMT 2023","Thu Mar 16 07:54:20 GMT 2023","2489","","Search element","","","","addComputertrue",""
"passed","Thu Mar 16 07:54:13 GMT 2023","Thu Mar 16 07:54:18 GMT 2023","4167","","Search element","","","","search_add",""
"failed","Thu Mar 16 07:54:46 GMT 2023","Thu Mar 16 07:54:54 GMT 2023","7693","","My User Registration","","","","User Register",""
"passed","Thu Mar 16 07:53:48 GMT 2023","Thu Mar 16 07:53:50 GMT 2023","2327","","My First Test","","","","Login",""
"passed","Thu Mar 16 07:54:30 GMT 2023","Thu Mar 16 07:54:38 GMT 2023","8244","","My First Test","","","","Add to cart",""
"passed","Thu Mar 16 07:54:10 GMT 2023","Thu Mar 16 07:54:13 GMT 2023","3407","","Search element","","","","Doing search",""
"passed","Thu Mar 16 07:54:01 GMT 2023","Thu Mar 16 07:54:03 GMT 2023","2186","","Login or Logout","","","","User logout",""
"failed","Thu Mar 16 07:53:39 GMT 2023","Thu Mar 16 07:53:48 GMT 2023","8675","","My First Test","","","","Register",""
"passed","Thu Mar 16 07:53:58 GMT 2023","Thu Mar 16 07:54:01 GMT 2023","2583","","Login or Logout","","","","User login",""
