"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 16 07:47:49 GMT 2023","Thu Mar 16 07:47:55 GMT 2023","6027","","Login or Logout","","","","User login",""
"passed","Thu Mar 16 07:48:16 GMT 2023","Thu Mar 16 07:48:18 GMT 2023","2294","","Search element","","","","addComputertrue",""
"failed","Thu Mar 16 07:47:29 GMT 2023","Thu Mar 16 07:47:38 GMT 2023","8987","","My First Test","","","","Register",""
"passed","Thu Mar 16 07:48:09 GMT 2023","Thu Mar 16 07:48:11 GMT 2023","2922","","Search element","","","","Doing search",""
"passed","Thu Mar 16 07:48:11 GMT 2023","Thu Mar 16 07:48:16 GMT 2023","4179","","Search element","","","","search_add",""
"passed","Thu Mar 16 07:47:38 GMT 2023","Thu Mar 16 07:47:41 GMT 2023","2178","","My First Test","","","","Login",""
"failed","Thu Mar 16 07:47:56 GMT 2023","Thu Mar 16 07:48:01 GMT 2023","5739","","Login or Logout","","","","User logout",""
"passed","Thu Mar 16 07:48:28 GMT 2023","Thu Mar 16 07:48:35 GMT 2023","7815","","My First Test","","","","Add to cart",""
"passed","Thu Mar 16 07:48:43 GMT 2023","Thu Mar 16 07:48:47 GMT 2023","3976","","My User Registration","","","","User Register",""
