"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 10 09:58:55 GMT 2023","Fri Mar 10 09:58:55 GMT 2023","0","","cypress/e2e/deconnexion.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/deconnexion.cy.js",""
"failed","Mon Mar 13 07:39:31 GMT 2023","Mon Mar 13 07:40:01 GMT 2023","29795","","Connexion Auchan","","","","passes",""
"failed","Mon Mar 13 07:40:17 GMT 2023","Mon Mar 13 07:40:45 GMT 2023","28569","","Deconnexion Auchan","","","","passes",""
"broken","Fri Mar 10 09:58:52 GMT 2023","Fri Mar 10 09:58:52 GMT 2023","0","","cypress/e2e/connexion.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/connexion.cy.js",""
"passed","Mon Mar 13 07:38:40 GMT 2023","Mon Mar 13 07:38:41 GMT 2023","687","","template spec","","","","passes",""
"passed","Mon Mar 13 07:38:51 GMT 2023","Mon Mar 13 07:39:16 GMT 2023","24954","","Connexion Auchan failed","","","","passes",""
"broken","Fri Mar 10 09:58:47 GMT 2023","Fri Mar 10 09:58:47 GMT 2023","0","","cypress/e2e/ajout_panier.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/ajout_panier.cy.js",""
"broken","Fri Mar 10 09:58:50 GMT 2023","Fri Mar 10 09:58:50 GMT 2023","0","","cypress/e2e/connexion-failed.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/connexion-failed.cy.js",""
