"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 14 16:04:28 GMT 2023","Tue Mar 14 16:04:28 GMT 2023","0","","Search element","","","","search_add",""
"broken","Tue Mar 14 16:04:25 GMT 2023","Tue Mar 14 16:04:25 GMT 2023","1","","Login or Logout","","","","User login",""
"broken","Tue Mar 14 16:04:57 GMT 2023","Tue Mar 14 16:04:57 GMT 2023","2","","My User Registration","","","","User Register",""
"broken","Tue Mar 14 16:04:28 GMT 2023","Tue Mar 14 16:04:28 GMT 2023","2","","Search element","","","","Doing search",""
"skipped","Tue Mar 14 16:04:28 GMT 2023","Tue Mar 14 16:04:28 GMT 2023","1","","Search element","","","","addComputertrue",""
"passed","Tue Mar 14 16:04:37 GMT 2023","Tue Mar 14 16:04:50 GMT 2023","13240","","My First Test","","","","Add to cart",""
"failed","Tue Mar 14 16:04:07 GMT 2023","Tue Mar 14 16:04:16 GMT 2023","9213","","My First Test","","","","Register",""
"skipped","Tue Mar 14 16:04:25 GMT 2023","Tue Mar 14 16:04:25 GMT 2023","0","","Login or Logout","","","","User logout",""
"passed","Tue Mar 14 16:04:16 GMT 2023","Tue Mar 14 16:04:19 GMT 2023","2564","","My First Test","","","","Login",""
