"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 09:04:41 GMT 2023","Fri Mar 10 09:05:29 GMT 2023","48325","","Deconnexion Auchan","","","","passes",""
"failed","Fri Mar 10 09:05:40 GMT 2023","Fri Mar 10 09:06:15 GMT 2023","34592","","template spec","","","","passes",""
"passed","Fri Mar 10 09:03:39 GMT 2023","Fri Mar 10 09:04:22 GMT 2023","43567","","Connexion Auchan","","","","passes",""
"passed","Fri Mar 10 09:02:21 GMT 2023","Fri Mar 10 09:03:25 GMT 2023","64209","","Connexion Auchan failed","","","","passes",""
