"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 08:12:41 GMT 2023","Wed Mar 15 08:12:52 GMT 2023","10886","","My First Test","","","","Add to cart",""
"failed","Wed Mar 15 08:13:03 GMT 2023","Wed Mar 15 08:13:13 GMT 2023","9767","","My User Registration","","","","User Register",""
"passed","Wed Mar 15 08:11:48 GMT 2023","Wed Mar 15 08:11:50 GMT 2023","2520","","My First Test","","","","Login",""
"passed","Wed Mar 15 08:12:25 GMT 2023","Wed Mar 15 08:12:28 GMT 2023","3144","","Search element","","","","addComputertrue",""
"passed","Wed Mar 15 08:12:20 GMT 2023","Wed Mar 15 08:12:25 GMT 2023","5122","","Search element","","","","search_add",""
"passed","Wed Mar 15 08:12:16 GMT 2023","Wed Mar 15 08:12:20 GMT 2023","3607","","Search element","","","","Doing search",""
"passed","Wed Mar 15 08:11:42 GMT 2023","Wed Mar 15 08:11:48 GMT 2023","5837","","My First Test","","","","Register",""
"passed","Wed Mar 15 08:12:04 GMT 2023","Wed Mar 15 08:12:07 GMT 2023","2558","","Login or Logout","","","","User logout",""
"passed","Wed Mar 15 08:12:01 GMT 2023","Wed Mar 15 08:12:04 GMT 2023","3011","","Login or Logout","","","","User login",""
