"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 10:02:21 WAT 2023","Fri Mar 10 10:03:25 WAT 2023","64209","","Connexion Auchan failed","","","","passes",""
"passed","Fri Mar 10 10:04:41 WAT 2023","Fri Mar 10 10:05:29 WAT 2023","48325","","Deconnexion Auchan","","","","passes",""
"passed","Fri Mar 10 10:03:39 WAT 2023","Fri Mar 10 10:04:22 WAT 2023","43567","","Connexion Auchan","","","","passes",""
"failed","Fri Mar 10 10:05:40 WAT 2023","Fri Mar 10 10:06:15 WAT 2023","34592","","template spec","","","","passes",""
